iPod touch (1st generation),"iPod1,1"
iPod touch (2nd generation),"iPod2,1"
iPod touch (3rd generation),"iPod3,1"
iPod touch (4th generation),"iPod4,1"
iPod touch (5th generation),"iPod5,1"
iPod touch (6th generation),"iPod7,1"
iPod touch (7th generation),"iPod9,1"

iPhone,"iPhone1,1"
iPhone 3G,"iPhone1,2"
iPhone 3GS,"iPhone2,1"
iPhone 4,"iPhone3,1"
iPhone 4,"iPhone3,2"
iPhone 4,"iPhone3,3"
iPhone 4S,"iPhone4,1"
iPhone 5,"iPhone5,1"
iPhone 5,"iPhone5,2"
iPhone 5c,"iPhone5,3"
iPhone 5c,"iPhone5,4"
iPhone 5s,"iPhone6,1"
iPhone 5s,"iPhone6,2"
iPhone 6,"iPhone7,2"
iPhone 6 Plus,"iPhone7,1"
iPhone 6s,"iPhone8,1"
iPhone 6s Plus,"iPhone8,2"
iPhone 7,"iPhone9,1"
iPhone 7,"iPhone9,3"
iPhone 7 Plus,"iPhone9,2"
iPhone 7 Plus,"iPhone9,4"
iPhone 8,"iPhone10,1"
iPhone 8,"iPhone10,4"
iPhone 8 Plus,"iPhone10,2"
iPhone 8 Plus,"iPhone10,5"
iPhone X,"iPhone10,3"
iPhone X,"iPhone10,6"
iPhone Xʀ,"iPhone11,8"
iPhone Xs,"iPhone11,2"
iPhone Xs Max,"iPhone11,6"
iPhone Xs Max,"iPhone11,4"
iPhone 11,"iPhone12,1"
iPhone 11 Pro,"iPhone12,3"
iPhone 11 Pro Max,"iPhone12,5"
iPhone 12 mini,"iPhone13,1"
iPhone 12,"iPhone13,2"
iPhone 12 Pro,"iPhone13,3"
iPhone 12 Pro Max,"iPhone13,4"
iPhone 13 mini,"iPhone14,4"
iPhone 13,"iPhone14,5"
iPhone 13 Pro,"iPhone14,2"
iPhone 13 Pro Max,"iPhone14,3"
iPhone 14,"iPhone14,7"
iPhone 14 Plus,"iPhone14,8"
iPhone 14 Pro,"iPhone15,2"
iPhone 14 Pro Max,"iPhone15,3"

iPhone SE (1st generation),"iPhone8,4"
iPhone SE (2nd generation),"iPhone12,8"
iPhone SE (3rd generation),"iPhone14,6"

iPad,"iPad1,1"
iPad 2,"iPad2,1"
iPad 2,"iPad2,2"
iPad 2,"iPad2,3"
iPad 2,"iPad2,4"
iPad (3rd generation),"iPad3,1"
iPad (3rd generation),"iPad3,2"
iPad (3rd generation),"iPad3,3"
iPad (4th generation),"iPad3,4"
iPad (4th generation),"iPad3,5"
iPad (4th generation),"iPad3,6"
iPad (5th generation),"iPad6,11"
iPad (5th generation),"iPad6,12"
iPad (6th generation),"iPad7,5"
iPad (6th generation),"iPad7,6"
iPad (7th generation),"iPad7,11"
iPad (7th generation),"iPad7,12"
iPad (8th generation),"iPad11,6"
iPad (8th generation),"iPad11,7"
iPad (9th generation),"iPad12,1"
iPad (9th generation),"iPad12,2"
iPad (10th generation),"iPad13,18"
iPad (10th generation),"iPad13,19"

iPad mini,"iPad2,5"
iPad mini,"iPad2,6"
iPad mini,"iPad2,7"
iPad mini 2,"iPad4,4"
iPad mini 2,"iPad4,5"
iPad mini 2,"iPad4,6"
iPad mini 3,"iPad4,7"
iPad mini 3,"iPad4,8"
iPad mini 3,"iPad4,9"
iPad mini 4,"iPad5,1"
iPad mini 4,"iPad5,2"
iPad mini (5th generation),"iPad11,1"
iPad mini (5th generation),"iPad11,2"
iPad mini (6th generation),"iPad14,1"
iPad mini (6th generation),"iPad14,2"

iPad Air,"iPad4,1"
iPad Air,"iPad4,2"
iPad Air,"iPad4,3"
iPad Air 2,"iPad5,3"
iPad Air 2,"iPad5,4"
iPad Air (3rd generation),"iPad11,3"
iPad Air (3rd generation),"iPad11,4"
iPad Air (4th generation),"iPad13,1"
iPad Air (4th generation),"iPad13,2"
iPad Air (5th generation),"iPad13,16"
iPad Air (5th generation),"iPad13,17"

iPad Pro (9.7-inch),"iPad6,3"
iPad Pro (9.7-inch),"iPad6,4"
iPad Pro (10.5-inch),"iPad7,3"
iPad Pro (10.5-inch),"iPad7,4"

iPad Pro (11-inch) (1st generation),"iPad8,1"
iPad Pro (11-inch) (1st generation),"iPad8,2"
iPad Pro (11-inch) (1st generation),"iPad8,3"
iPad Pro (11-inch) (1st generation),"iPad8,4"
iPad Pro (11-inch) (2nd generation),"iPad8,9"
iPad Pro (11-inch) (2nd generation),"iPad8,10"
iPad Pro (11-inch) (3rd generation),"iPad13,4"
iPad Pro (11-inch) (3rd generation),"iPad13,5"
iPad Pro (11-inch) (3rd generation),"iPad13,6"
iPad Pro (11-inch) (3rd generation),"iPad13,7"
iPad Pro (11-inch) (4th generation),"iPad14,3"
iPad Pro (11-inch) (4th generation),"iPad14,4"

iPad Pro (12.9-inch) (1st generation),"iPad6,7"
iPad Pro (12.9-inch) (1st generation),"iPad6,8"
iPad Pro (12.9-inch) (2nd generation),"iPad7,1"
iPad Pro (12.9-inch) (2nd generation),"iPad7,2"
iPad Pro (12.9-inch) (3rd generation),"iPad8,5"
iPad Pro (12.9-inch) (3rd generation),"iPad8,6"
iPad Pro (12.9-inch) (3rd generation),"iPad8,7"
iPad Pro (12.9-inch) (3rd generation),"iPad8,8"
iPad Pro (12.9-inch) (4th generation),"iPad8,11"
iPad Pro (12.9-inch) (4th generation),"iPad8,12"
iPad Pro (12.9-inch) (5th generation),"iPad13,8"
iPad Pro (12.9-inch) (5th generation),"iPad13,9"
iPad Pro (12.9-inch) (5th generation),"iPad13,10"
iPad Pro (12.9-inch) (5th generation),"iPad13,11"
iPad Pro (12.9-inch) (6th generation),"iPad14,5"
iPad Pro (12.9-inch) (6th generation),"iPad14,6"
